Epoch,Validation MAE (dB)
1,0.6072
2,0.5852
3,0.5759
4,0.5635
5,0.5516
6,0.5294
7,0.5224
8,0.5104
9,0.503
10,0.5014
11,0.5102
12,0.491
13,0.48
14,0.4738
15,0.4731
16,0.4618
17,0.4613
18,0.4602
19,0.4597
20,0.4623
21,0.446
22,0.4518
23,0.4414
24,0.4383
25,0.4339
26,0.4385
27,0.4321
28,0.4325
29,0.4258
30,0.4275
31,0.4241
32,0.4238
33,0.4241
34,0.4179
35,0.4256
36,0.421
37,0.4229
38,0.4133
39,0.4172
40,0.4161
41,0.4196
42,0.4067
43,0.4058
44,0.4156
45,0.4078
46,0.4069
47,0.4114
48,0.4089
49,0.4052
50,0.4056
